iter	RMSE
323	2.110439234
324	2.107865346
325	2.102856596
326	2.101624915
327	2.098004303
328	2.09461733
329	2.092275275
330	2.087639958
331	2.078432635
332	2.076230431
333	2.073501111
334	2.071952893
335	2.070428121
336	2.066506414
337	2.061022062
338	2.057282942
339	2.048507317
340	2.046409085
341	2.044299279
342	2.042504792
343	2.03973644
344	2.035306608
345	2.034203577
346	2.031462509
347	2.029055623
348	2.026143217
349	2.023651667
350	2.022707332
351	2.021152721
352	2.016613853
353	2.009270648
354	2.00669515
355	2.004985415
356	2.001911855
357	2.001507264
358	2.000232816
359	1.99243898
360	1.990057598
361	1.982859659
362	1.979797971
363	1.977610174
364	1.975492584
365	1.974079722
366	1.969883796
367	1.963540496
368	1.961461289
369	1.96013461
370	1.951477987
371	1.949663955
372	1.947612173
373	1.943396474
374	1.940077373
375	1.938136853
376	1.931837175
377	1.928455798
378	1.92529314
379	1.920809078
380	1.919049953
381	1.917461997
382	1.916541584
383	1.911964127
384	1.90879052
385	1.904587849
386	1.903838314
387	1.898770285
388	1.89721121
389	1.893890684
390	1.890738221
391	1.889296725
392	1.887519297
393	1.885175816
394	1.883264421
395	1.880204901
396	1.878814652
397	1.875824159
398	1.874370761
399	1.869527345
400	1.868398548
401	1.866447577
402	1.865194256
403	1.864041393
404	1.860534594
405	1.859169791
406	1.855778639
407	1.853903672
408	1.849000714
409	1.848054584
410	1.847415954
411	1.845718503
412	1.843146369
413	1.837211982
414	1.835576884
415	1.832387803
416	1.829924988
417	1.828939985
418	1.827161232
419	1.8256766
420	1.822753653
421	1.820970714
422	1.816748389
423	1.814601855
424	1.811103365
425	1.808321855
426	1.806490692
427	1.804052657
428	1.80254703
429	1.797439915
430	1.792893357
431	1.789736687
432	1.78733838
433	1.780048979
434	1.776229535
435	1.774246937
436	1.772701941
437	1.771667346
438	1.770466425
439	1.769003145
440	1.768410534
441	1.766438172
442	1.76459611
443	1.763812502
444	1.761567882
445	1.758957829
446	1.757363126
447	1.753274989
448	1.751169491
449	1.74986232
450	1.74783543
451	1.745076424
452	1.742281981
453	1.73922151
454	1.738611554
455	1.736159602
456	1.733861801
457	1.730117928
458	1.726739622
459	1.723384768
460	1.721927176
461	1.719903246
462	1.717802168
463	1.713232569
464	1.710473665
465	1.709204483
466	1.707431435
467	1.706579884
468	1.704813783
469	1.702115868
470	1.699466415
471	1.696900468
472	1.694701974
473	1.69262619
474	1.691225393
475	1.687427144
476	1.685826577
477	1.683120295
478	1.682623904
479	1.681919669
480	1.6809252
481	1.674170886
482	1.67123482
483	1.670766525
484	1.669397483
485	1.666923734
486	1.664903456
487	1.662719956
488	1.662275395
489	1.656142414
490	1.651735776
491	1.650689298
492	1.649189726
493	1.643799473
494	1.642643697
495	1.641477015
496	1.638686382
497	1.635934843
498	1.634946703
499	1.632312765
500	1.631311189
501	1.630212218
502	1.627747458
503	1.626088453
504	1.62549339
505	1.621711652
506	1.620364944
507	1.618547574
508	1.617753798
509	1.616454404
510	1.613889711
511	1.610778908
512	1.609106056
513	1.608485957
514	1.607099092
515	1.604403371
516	1.603529779
517	1.602967798
518	1.599808115
519	1.597057701
520	1.595927673
521	1.592216718
522	1.591665648
523	1.586093763
524	1.582162238
525	1.579816484
526	1.577521345
527	1.574863791
528	1.573593865
529	1.572090548
530	1.570748164
531	1.569670681
532	1.568401418
533	1.566130871
534	1.565354329
535	1.564730562
536	1.564216509
537	1.562143391
538	1.560639753
539	1.558721021
540	1.558090064
541	1.551744973
542	1.548903482
543	1.547193
544	1.545002825
545	1.543173759
546	1.54219309
547	1.539257037
548	1.534265589
549	1.530522495
550	1.529042541
551	1.527507318
552	1.526482991
553	1.520859287
554	1.518557424
555	1.515979922
556	1.515610866
557	1.512918681
558	1.509507056
559	1.504829131
560	1.503893702
561	1.502319884
562	1.499754988
563	1.498310415
564	1.494484952
565	1.493581482
566	1.491899506
567	1.490584703
568	1.488595894
569	1.488186894
570	1.486025483
571	1.485640941
572	1.481480181
573	1.481316042
574	1.481006303
575	1.479140131
576	1.476298476
577	1.475529532
578	1.472134438
579	1.470458207
580	1.469513201
581	1.468486226
582	1.466493375
583	1.464910863
584	1.464346498
585	1.460069666
586	1.455006054
587	1.454023642
588	1.453777514
589	1.452765237
590	1.451338599
591	1.4493661
592	1.44763208
593	1.44537755
594	1.44476176
595	1.442266061
596	1.440169763
597	1.439210643
598	1.438282147
599	1.43814197
600	1.437157171
601	1.436119291
602	1.435424892
603	1.434949394
604	1.432155095
605	1.432003686
606	1.431004808
607	1.42950522
608	1.428989127
609	1.427221833
610	1.423965034
611	1.423631239
612	1.423334445
613	1.42277237
614	1.422148163
615	1.420155593
616	1.419828327
617	1.417527483
618	1.417306508
619	1.415932582
620	1.414472746
621	1.413965379
622	1.412586794
623	1.411407804
624	1.41091096
625	1.410126659
626	1.409548904
627	1.406767354
628	1.406634341
629	1.403469289
630	1.401908586
631	1.3992505
632	1.396745187
633	1.393856649
634	1.393116747
635	1.393025341
636	1.390349126
637	1.390257288
638	1.387510307
639	1.386372513
640	1.38447969
641	1.383861601
642	1.380840968
643	1.380438515
644	1.380128309
645	1.378945825
646	1.378226911
647	1.377703852
648	1.375497194
649	1.37484276
650	1.372971876
651	1.370251268
652	1.368752092
653	1.367277284
654	1.366945489
655	1.365768783
656	1.365677656
657	1.364311118
658	1.364182233
659	1.362672457
660	1.362010425
661	1.361403939
662	1.361172903
663	1.359470409
664	1.359270918
665	1.356781301
666	1.354953311
667	1.354850647
668	1.351983848
669	1.350712844
670	1.349676968
671	1.348716929
672	1.347890681
673	1.347304358
674	1.346885851
675	1.343550959
676	1.342327847
677	1.34037394
678	1.339772181
679	1.338134546
680	1.337803667
681	1.337738534
682	1.336127536
683	1.333766405
684	1.333294732
685	1.333099086
686	1.331493383
687	1.330096463
688	1.327843569
689	1.326809756
690	1.324882034
691	1.324568321
692	1.323496816
693	1.321797243
694	1.319094116
695	1.31828141
696	1.318086193
697	1.317917801
698	1.317618375
699	1.31709854
700	1.3145334
701	1.312353315
702	1.312225922
703	1.311009558
704	1.309522059
705	1.30850231
706	1.307418304
707	1.303192099
708	1.302698251
709	1.302206246
710	1.301323986
711	1.300455567
712	1.298590653
713	1.297074461
714	1.295800271
715	1.293636722
716	1.293130031
717	1.292248222
718	1.289490463
719	1.289323015
720	1.286496726
721	1.284879065
722	1.28369112
723	1.283355087
724	1.282814293
725	1.282672615
726	1.281443076
727	1.280224207
728	1.278448237
729	1.277824971
730	1.276015648
731	1.275953514
732	1.274401152
733	1.272852535
734	1.269578494
735	1.268469573
736	1.266069061
737	1.265815473
738	1.264746773
739	1.264261915
740	1.258070651
741	1.257181773
742	1.256676481
743	1.255293441
744	1.25313348
745	1.252464085
746	1.251794734
747	1.250729588
748	1.248317263
749	1.245814814
750	1.245330736
751	1.24429283
752	1.242822561
753	1.24188688
754	1.239446177
755	1.239230404
756	1.238561586
757	1.237888112
758	1.237264109
759	1.23623907
760	1.234420386
761	1.233219991
762	1.232513767
763	1.230858877
764	1.230596619
765	1.228966179
766	1.227335089
767	1.2269056
768	1.225792615
769	1.224079371
770	1.223862365
771	1.223206012
772	1.221921577
773	1.220127883
774	1.218652211
775	1.218523503
776	1.218472596
777	1.217899185
778	1.217632951
779	1.216259099
780	1.215364316
781	1.214444614
782	1.212309678
783	1.212025051
784	1.211749703
785	1.211227849
786	1.210666464
787	1.208605994
788	1.208525707
789	1.20778932
790	1.207639287
791	1.205492247
792	1.202408097
793	1.202288883
794	1.201544517
795	1.200816197
796	1.198595017
797	1.197639802
798	1.195621009
799	1.19321738
800	1.192225295
801	1.192025996
802	1.190251307
803	1.189783291
804	1.189651759
805	1.18775724
806	1.186553816
807	1.184984205
808	1.18439975
809	1.183268808
810	1.183129066
811	1.178531152
812	1.177875575
813	1.177109561
814	1.175425359
815	1.174908212
816	1.174044934
817	1.171897065
818	1.17011732
819	1.169324532
820	1.16774971
821	1.167712409
822	1.16693263
823	1.166381844
824	1.164554037
825	1.163879118
826	1.162133183
827	1.161317763
828	1.160652499
829	1.158683478
830	1.156752873
831	1.155508701
832	1.154711456
833	1.153459266
834	1.152213718
835	1.151674629
836	1.151539321
837	1.149158333
838	1.149022515
839	1.148058178
840	1.146117418
841	1.144940797
842	1.14453717
843	1.143509684
844	1.14341688
845	1.142704735
846	1.142218797
847	1.140815173
848	1.139620012
849	1.13815175
850	1.136466204
851	1.134951815
852	1.133672091
853	1.132922061
854	1.131921374
855	1.1314037
856	1.128249816
857	1.127061244
858	1.125234626
859	1.124155452
860	1.124105581
861	1.123940047
862	1.122020143
863	1.121366665
864	1.11995759
865	1.119424122
866	1.118770481
867	1.117872666
868	1.11741021
869	1.117049224
870	1.115132272
871	1.113419404
872	1.113013237
873	1.111582169
874	1.110614149
875	1.10877006
876	1.107965637
877	1.10619855
878	1.105473371
879	1.105152166
880	1.103753742
881	1.101746344
882	1.10121004
883	1.100852595
884	1.100794551
885	1.100634236
886	1.099327531
887	1.099066174
888	1.097860601
889	1.096193672
890	1.095070275
891	1.094309511
892	1.093740629
893	1.093141877
894	1.092641
895	1.090545842
896	1.088947234
897	1.088589399
898	1.087645796
899	1.087612338
900	1.086788158
901	1.086379023
902	1.085589053
903	1.085497961
904	1.085428674
905	1.083748761
906	1.081809307
907	1.08159047
908	1.079466596
909	1.079429648
910	1.078526828
911	1.077776293
912	1.076838361
913	1.076622474
914	1.07509608
915	1.073931084
916	1.071179085
917	1.068431802
918	1.067311169
919	1.06636606
920	1.06519287
921	1.065006583
922	1.063232199
923	1.062619262
924	1.0606483
925	1.059830728
926	1.058719328
927	1.058507165
928	1.057271455
929	1.056648553
930	1.056095511
931	1.055641467
932	1.055313534
933	1.054823084
934	1.054099873
935	1.053251499
936	1.051642197
937	1.05087131
938	1.050518472
939	1.049954198
940	1.046821039
941	1.04664915
942	1.046450408
943	1.045766128
944	1.044752814
945	1.042823488
946	1.042481411
947	1.041805563
948	1.041433407
949	1.040427767
950	1.039960866
951	1.037571057
952	1.037424912
953	1.036141252
954	1.035107638
955	1.033276631
956	1.032593025
957	1.032486269
958	1.032286657
959	1.032016927
960	1.031459424
961	1.03014627
962	1.02996558
963	1.028946309
964	1.028291115
965	1.026960179
966	1.024551778
967	1.023827029
968	1.022363476
969	1.022045437
970	1.021852978
971	1.020468563
972	1.02041877
973	1.020301181
974	1.018964696
975	1.018497545
976	1.016738415
977	1.014049216
978	1.013855502
979	1.011749
980	1.010756986
981	1.008819023
982	1.008107361
983	1.007840387
984	1.006159112
985	1.003222656
986	1.002235241
987	1.000456887
988	1.000235358
989	0.996580672
990	0.995032848
991	0.9939130997
992	0.9936709994
993	0.9923546599
994	0.9922389605
995	0.9919349602
996	0.9901692991
997	0.9897156029
998	0.98706415
999	0.9870395195
